K	delta	s	b	NashEh	NashRh	CS01h	CS12h	TS01h	TS12h	Coop01h	Coop12h
0	1	0	0.03	0	0	0	0.02	0	0	0	0
0	1	0	0.04	0	0	0	0.04	0	0	0	0
0	1	0	0.05	0	0	0	0.08	0	0.02	0	0
0	1	0	0.06	0	0	0	0.12	0	0.04	0	0
0	1	0	0.07	0	0	0	0.18	0	0.06	0	0
0	1	0	0.08	0	0	0	0.22	0	0.08	0	0
0	1	0	0.09	0	0	0	0.28	0	0.1	0	0
0	1	0	0.1	0	0	0	0.36	0	0.12	0	0
0	1	0	0.11	0.02	0	0	0.44	0	0.16	0	0
0	1	0	0.12	0.02	0	0	0.5	0	0.18	0	0
0	1	0	0.13	0.04	0	0	0.6	0	0.22	0	0
0	1	0	0.14	0.04	0	0	0.7	0	0.24	0	0
0	1	0	0.15	0.04	0	0	0.8	0	0.28	0	0
0	1	0	0.16	0.06	0	0	0.9	0	0.32	0	0
0	1	0	0.17	0.08	0	0	1	0	0.36	0	0
0	1	0	0.18	0.1	0	0	1.12	0	0.4	0	0
0	1	0	0.19	0.1	0	0	1.24	0	0.44	0	0
0	1	0	0.2	0.12	0	0	1.36	0	0.5	0	0
0	1	0	0.21	0.14	0	0	1.48	0	0.54	0	0
0	1	0	0.22	0.16	0	0	1.62	0	0.6	0	0
0	1	0	0.23	0.2	0	0	1.76	0	0.64	0	0
0	1	0	0.24	0.22	0	0	1.92	0	0.7	0	0
0	1	0	0.25	0.24	0.02	0	2.08	0	0.74	0	0
0	1	0	0.26	0.28	0.02	0	2.22	0	0.8	0	0
0	1	0	0.27	0.3	0.02	0	2.38	0	0.86	0	0
0	1	0	0.28	0.34	0.02	0	2.56	0	0.92	0	0
0	1	0	0.29	0.38	0.02	0	2.74	0	0.98	0	0
0	1	0	0.3	0.4	0.04	0	2.94	0	1.04	0	0
0	1	0	0.31	0.44	0.04	0	3.14	0	1.1	0	0
0	1	0	0.32	0.48	0.04	0	3.32	0	1.16	0	0
0	1	0	0.33	0.52	0.06	0	3.54	0	1.22	0	0
0	1	0	0.34	0.58	0.06	0	3.78	0	1.3	0	0
0	1	0	0.35	0.62	0.08	0	4	0	1.36	0	0
0	1	0	0.36	0.66	0.08	0	4.22	0	1.42	0	0
0	1	0	0.37	0.72	0.1	0	4.48	0	1.5	0	0
0	1	0	0.38	0.78	0.1	0	4.72	0	1.58	0	0
0	1	0	0.39	0.82	0.12	0	4.96	0	1.64	0	0
0	1	0	0.4	0.88	0.14	0	5.26	0	1.72	0	0
0	1	0	0.41	0.94	0.14	0	5.54	0	1.8	0	0
0	1	0	0.42	1	0.16	0	5.8	0	1.88	0	0
0	1	0	0.43	1.08	0.18	0	6.08	0	1.94	0	0
0	1	0	0.44	1.14	0.2	0	6.38	0	2.04	0	0
0	1	0	0.45	1.2	0.22	0	6.72	0	2.1	0	0
0	1	0	0.46	1.28	0.24	0	7.04	0	2.18	0	0
0	1	0	0.47	1.36	0.26	0	7.38	0	2.26	0	0
0	1	0	0.48	1.44	0.28	0	7.7	0	2.36	0	0
0	1	0	0.49	1.52	0.3	0	8.08	0	2.44	0	0
0	1	0	0.5	1.6	0.32	0	8.48	0	2.52	0	0
0	1	0	0.51	1.68	0.36	0	8.9	0	2.6	0	0
0	1	0	0.52	1.78	0.38	0	9.28	0	2.68	0	0
0	1	0	0.53	1.88	0.42	0	9.62	0	2.78	0	0
0	1	0	0.54	1.98	0.44	0	10.08	0	2.86	0	0
0	1	0	0.55	2.08	0.48	0	10.56	0	2.94	0	0
0	1	0	0.56	2.18	0.52	0	10.94	0	3.02	0	0
0	1	0	0.57	2.28	0.54	0	11.42	0	3.12	0	0
0	1	0	0.58	2.4	0.58	0	11.98	0	3.22	0	0
0	1	0	0.59	2.52	0.62	0	12.36	0	3.3	0	0
0	1	0	0.6	2.64	0.66	0	12.94	0	3.38	0	0
0	1	0	0.61	2.76	0.7	0	13.48	0	3.48	0	0
0	1	0	0.62	2.9	0.76	0	13.98	0	3.56	0	0
0	1	0	0.63	3.02	0.8	0	14.68	0	3.66	0	0
0	1	0	0.64	3.14	0.84	0	15.12	0	3.74	0	0
0	1	0	0.65	3.3	0.9	0	15.86	0	3.82	0	0
0	1	0	0.66	3.44	0.96	0	16.34	0	3.92	0	0
0	1	0	0.67	3.58	1	0	17.14	0	4	0	0
0	1	0	0.68	3.74	1.06	0	17.66	0	4.1	0	0
0	1	0	0.69	3.9	1.12	0	18.52	0	4.18	0	0
0	1	0	0.7	4.06	1.18	0	19.08	0	4.26	0	0
0	1	0	0.71	4.24	1.26	0	20	0	4.36	0	0
0	1	0	0.72	4.42	1.32	0	20	0	4.44	0	0
0	1	0	0.73	4.6	1.4	0	20	0	4.54	0	0
0	1	0	0.74	4.78	1.46	0	20	0	4.62	0	0
0	1	0	0.75	5	1.54	0	20	0	4.7	0	0
0	1	0	0.76	5.2	1.62	0	20	0	4.8	0	0
0	1	0	0.77	5.42	1.7	0	20	0	4.86	0	0
0	1	0	0.78	5.6	1.8	0	20	0	4.96	0	0
0	1	0	0.79	5.82	1.88	0	20	0	5.04	0	0
0	1	0	0.8	6.06	1.98	0	20	0	5.12	0	0
0	1	0	0.81	6.32	2.08	0	20	0	5.18	0	0
0	1	0	0.82	6.54	2.18	0	20	0	5.28	0	0
0	1	0	0.83	6.78	2.3	0	20	0	5.36	0	0
0	1	0	0.84	7.08	2.4	0	20	0	5.44	0	0
0	1	0	0.85	7.34	2.52	0	20	0	5.5	0	0
0	1	0	0.86	7.58	2.64	0	20	0	5.58	0	0
0	1	0	0.87	7.9	2.78	0	20	0	5.66	0	0
0	1	0	0.88	8.16	2.9	0	20	0	5.74	0	0
0	1	0	0.89	8.5	3.04	0	20	0	5.8	0	0
0	1	0	0.9	8.86	3.18	0	20	0	5.86	0	0
0	1	0	0.91	9.12	3.34	0	20	0	5.94	0	0
0	1	0	0.92	9.5	3.48	0	20	0	6	0	0
0	1	0	0.93	9.8	3.66	0	20	0	6.08	0	0
0	1	0	0.94	10.22	3.82	0	20	0	6.14	0	0
0	1	0	0.95	10.52	4	0	20	0	6.2	0	0
0	1	0	0.96	10.98	4.18	0	20	0	6.26	0	0
0	1	0	0.97	11.32	4.38	0	20	0	6.32	0	0
0	1	0	0.98	11.8	4.58	0	20	0	6.38	0	0
0	1	0	0.99	12.16	4.78	0	20	0	6.44	0	0
0	1	0	1	12.68	5	0	20	0	6.5	0	0
0	1	-0.5	0	0	0	0	0	0	0	0	0
0	1	-0.5	0.01	0	0	0	0	0	0	0	0
0	1	-0.5	0.02	0	0	0	0	0	0	0	0
0	1	-0.5	0.03	0	0	0	0.02	0	0	0	0
0	1	-0.5	0.04	0	0	0	0.06	0	0.02	0	0
0	1	-0.5	0.05	0	0	0	0.08	0	0.02	0	0
0	1	-0.5	0.06	0	0	0	0.12	0	0.04	0	0
0	1	-0.5	0.07	0	0	0	0.18	0	0.06	0	0
0	1	-0.5	0.08	0	0	0	0.24	0	0.08	0	0
0	1	-0.5	0.09	0	0	0	0.32	0	0.1	0	0
0	1	-0.5	0.1	0	0	0	0.38	0	0.12	0	0
0	1	-0.5	0.11	0.02	0	0	0.46	0	0.16	0	0
0	1	-0.5	0.12	0.02	0	0	0.54	0	0.18	0	0
0	1	-0.5	0.13	0.02	0	0	0.64	0	0.22	0	0
0	1	-0.5	0.14	0.04	0	0	0.72	0	0.24	0	0
0	1	-0.5	0.15	0.04	0	0	0.82	0	0.28	0	0
0	1	-0.5	0.16	0.06	0	0	0.94	0	0.32	0	0
0	1	-0.5	0.17	0.08	0	0	1.04	0	0.38	0	0
0	1	-0.5	0.18	0.1	0	0	1.18	0	0.42	0	0
0	1	-0.5	0.19	0.1	0	0	1.28	0	0.46	0	0
0	1	-0.5	0.2	0.12	0	0	1.42	0	0.52	0	0
0	1	-0.5	0.21	0.14	0	0	1.56	0	0.56	0	0
0	1	-0.5	0.22	0.16	0	0	1.7	0	0.62	0	0
0	1	-0.5	0.23	0.2	0	0	1.84	0	0.68	0	0
0	1	-0.5	0.24	0.22	0	0	2	0	0.74	0	0
0	1	-0.5	0.25	0.24	0.02	0	2.16	0	0.8	0	0
0	1	-0.5	0.26	0.28	0.02	0	2.34	0	0.86	0	0
0	1	-0.5	0.27	0.3	0.02	0	2.5	0	0.92	0	0
0	1	-0.5	0.28	0.34	0.02	0	2.7	0	1	0	0
0	1	-0.5	0.29	0.38	0.02	0	2.88	0	1.06	0	0
0	1	-0.5	0.3	0.42	0.04	0	3.06	0	1.12	0	0
0	1	-0.5	0.31	0.46	0.04	0	3.26	0	1.2	0	0
0	1	-0.5	0.32	0.5	0.04	0	3.48	0	1.28	0	0
0	1	-0.5	0.33	0.56	0.06	0	3.68	0	1.34	0	0
0	1	-0.5	0.34	0.6	0.06	0	3.92	0	1.42	0	0
0	1	-0.5	0.35	0.64	0.08	0	4.14	0	1.5	0	0
0	1	-0.5	0.36	0.7	0.08	0	4.38	0	1.58	0	0
0	1	-0.5	0.37	0.76	0.1	0	4.6	0	1.66	0	0
0	1	-0.5	0.38	0.82	0.1	0	4.84	0	1.76	0	0
0	1	-0.5	0.39	0.88	0.12	0	5.12	0	1.84	0	0
0	1	-0.5	0.4	0.94	0.14	0	5.38	0	1.92	0	0
0	1	-0.5	0.41	1	0.14	0	5.66	0	2.02	0	0
0	1	-0.5	0.42	1.06	0.16	0	5.92	0	2.1	0	0
0	1	-0.5	0.43	1.14	0.18	0	6.26	0	2.2	0	0
0	1	-0.5	0.44	1.22	0.2	0	6.52	0	2.28	0	0
0	1	-0.5	0.45	1.3	0.22	0	6.82	0	2.38	0	0
0	1	-0.5	0.46	1.38	0.24	0	7.16	0	2.48	0	0
0	1	-0.5	0.47	1.46	0.26	0	7.5	0	2.58	0	0
0	1	-0.5	0.48	1.54	0.3	0	7.86	0	2.68	0	0
0	1	-0.5	0.49	1.62	0.32	0	8.2	0	2.78	0	0
0	1	-0.5	0.5	1.72	0.34	0	8.56	0	2.88	0	0
0	1	-0.5	0.51	1.8	0.38	0	8.94	0	2.98	0	0
0	1	-0.5	0.52	1.9	0.42	0	9.32	0	3.1	0	0
0	1	-0.5	0.53	2.02	0.44	0	9.72	0	3.2	0	0
0	1	-0.5	0.54	2.12	0.48	0	10.1	0	3.3	0	0
0	1	-0.5	0.55	2.22	0.52	0	10.48	0	3.4	0	0
0	1	-0.5	0.56	2.34	0.56	0	10.92	0	3.52	0	0
0	1	-0.5	0.57	2.44	0.6	0	11.4	0	3.62	0	0
0	1	-0.5	0.58	2.58	0.66	0	11.9	0	3.74	0	0
0	1	-0.5	0.59	2.7	0.7	0	12.34	0	3.86	0	0
0	1	-0.5	0.6	2.82	0.76	0	12.78	0	3.96	0	0
0	1	-0.5	0.61	2.96	0.8	0	13.34	0	4.08	0	0
0	1	-0.5	0.62	3.08	0.86	0	13.86	0	4.2	0	0
0	1	-0.5	0.63	3.22	0.92	0	14.32	0	4.32	0	0
0	1	-0.5	0.64	3.38	0.98	0	14.96	0	4.44	0	0
0	1	-0.5	0.65	3.54	1.04	0	15.5	0	4.56	0	0
0	1	-0.5	0.66	3.68	1.1	0	16.06	0	4.68	0	0
0	1	-0.5	0.67	3.86	1.18	0	16.76	0	4.78	0	0
0	1	-0.5	0.68	4	1.24	0	17.24	0	4.92	0	0
0	1	-0.5	0.69	4.2	1.32	0	18.02	0	5.04	0	0
0	1	-0.5	0.7	4.36	1.4	0	18.6	0	5.14	0	0
0	1	-0.5	0.71	4.54	1.48	0	19.36	0	5.28	0	0
0	1	-0.5	0.72	4.74	1.56	0	20	0	5.4	0	0
0	1	-0.5	0.73	4.92	1.66	0	20	0	5.52	0	0
0	1	-0.5	0.74	5.12	1.74	0	20	0	5.64	0	0
0	1	-0.5	0.75	5.34	1.84	0	20	0	5.76	0	0
0	1	-0.5	0.76	5.56	1.94	0	20	0	5.9	0	0
0	1	-0.5	0.77	5.78	2.04	0	20	0	6	0	0
0	1	-0.5	0.78	6	2.16	0	20	0	6.14	0	0
0	1	-0.5	0.79	6.22	2.28	0	20	0	6.24	0	0
0	1	-0.5	0.8	6.46	2.38	0	20	0	6.4	0	0
0	1	-0.5	0.81	6.7	2.52	0	20	0	6.5	0	0
0	1	-0.5	0.82	6.96	2.64	0	20	0	6.64	0	0
0	1	-0.5	0.83	7.24	2.78	0	20	0	6.74	0	0
0	1	-0.5	0.84	7.52	2.92	0	20	0	6.86	0	0
0	1	-0.5	0.85	7.8	3.06	0	20	0	7	0	0
0	1	-0.5	0.86	8.1	3.2	0	20	0	7.1	0	0
0	1	-0.5	0.87	8.42	3.36	0	20	0	7.24	0	0
0	1	-0.5	0.88	8.72	3.54	0	20	0	7.36	0	0
0	1	-0.5	0.89	9	3.7	0	20	0	7.46	0	0
0	1	-0.5	0.9	9.34	3.88	0	20	0	7.6	0	0
0	1	-0.5	0.91	9.7	4.06	0	20	0	7.7	0	0
0	1	-0.5	0.92	10.08	4.26	0	20	0	7.82	0	0
